"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1091398089.83986","1115156444.13712","1128073594.16709","1187636686.37401","1266925629.38297","1211694082.71283","1291724272.6635","1362396211.8152","1426855450.59797","1479761747.06437","1578783591.04445","1500569472.42079","1515936817.31734","1607770883.37954","1700000020.02661","1809010909.09872","2039270997.38327","2228095675.38344","2227424277.33893","1957738076.9528","1809452001.62053","1774011846.21298","1833846892.16354","1822827739.03627","1892017314.86325","1964392522.63697","2072390667.97912","2137578620.06971","2295528518.80634","",
"Australia","AUS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489240366825.682","487296949201.331","489307190964.816","509023377336.78","529296227179.694","549600343362.936","570917243746.629","593562657061.542","620728202283.187","652221376845.619","677873876421.555","690962824774.833","718610852542.334","740068144924.758","770081992443.796","794756652552.589","816966789364.888","848373521692.293","879406284066.747","896439695825.412","914973278854.356","937507114248.881","974240159611.1","999423051016.609","1024739590700.39","1047208441152.27","1076222991911.78","1101703833148.66","1134097600925.65","",
"Austria","AUT","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240638429125.976","248920307356.031","254131515498.673","255470304378.742","261607004500.765","268586636638.262","274897170587.213","280652416072.446","290703774150.975","301042163306.273","311204510285.066","315147994842.847","320352833911.359","323368862686.354","332213389842.666","339668475327.932","351400766569.942","364498932510.674","369822161218.874","355899916840.528","362438131708.544","373031463577.163","375569739671.208","375665527652.411","378149701789.275","381986036511.023","389941309902.305","399597987767.772","409267314573.187","",
"Azerbaijan","AZE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62925566322.8371","62485087243.5954","48363457498.0301","37191499149.9133","29864773548.7026","26340730350.0107","26683159703.6421","28230782969.7432","31053861595.7108","33351847225.486","37053902101.9217","40722238458.2643","44565976479.0869","49115405060.9364","53660447065.8721","68664733399.9362","92330864172.6502","115841271464.92","128110527093.155","140113846495.983","146823664207.939","144514131462.76","147697689658.037","156327183091.947","160700106785.222","162388664736.025","157412751213.719","156968829630.03","159186600669.391","",
"Burundi","BDI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5587966255.59852","5867187790.16152","5926446291.26545","5556636042.60808","5343816882.38744","4920586585.10208","4526939658.39523","4454961317.96897","4666571980.35403","4619439603.51587","4579857285.85274","4674010317.48769","4881841093.58526","4822100639.14884","5055184481.27839","5100681141.65549","5376822181.74174","5562427528.90177","5832856790.91615","6055248859.5235","6365529699.51156","6622226209.07379","6916697286.40174","7257288966.41639","7565045310.2574","7270008309.70479","7226386805.80517","7262519462.38467","7379441165.82136","",
"Belgium","BEL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300903162794.716","306418941277.328","311109157620.587","308116682351.537","318059519774.49","325644467094.815","329947788675.213","342464836005.46","349183450715.336","361554092513.479","374991890719.291","379115362147.197","385586441163.321","389588647403.019","403501609484.2","412869857180.69","423407756533.043","438976113566.19","440937970447.83","432027823044.879","444402332588.236","451932718764.387","455273540572.342","457364284375.407","464583885847.821","474027895847.637","481190959985.587","490642477961.409","497798034123.353","",
"Benin","BEN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7281933690.13346","7589653601.68144","7814133607.94527","8270179892.47555","8437270644.04601","8947320414.92647","9334227962.87014","9869516848.91402","10260449609.263","10808506330.4841","11441883947.698","12051783371.8559","12611524838.1216","13045871409.6567","13623755116.011","13856936260.6803","14403871439.8246","15266161439.334","16012661259.4538","16385644371.8654","16731414124.1439","17227124154.8024","18056864841.2115","19355102198.1462","20584505761.8031","21015917559.2062","21849169249.3082","23124685143.6296","24710576575.9195","",
"Burkina Faso","BFA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7439527546.15268","8114291538.54823","8133174368.26253","8414694840.59427","8525348689.67655","9012689494.22624","10005414157.7426","10637439634.6379","11414793899.2823","12259965668.2223","12483126699.3535","13308685744.9546","13888013410.7502","14971617310.18","15642117350.9971","16997015908.0583","18059866270.6652","19081152632.6264","20473026958.4259","21079440959.1922","22212117974.8109","23684085089.3575","25212347753.0455","26672795515.5208","27826883996.0202","28910615365.9316","30618083534.9514","32562306769.378","34787089943.1542","",
"Bangladesh","BGD","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136763926786.141","141530461203.864","149233519165.676","156264748534.802","162343644834.979","170657714035.36","178376424579.822","186385341419.141","196034560632.586","205189681149.996","216050975705.134","227020505484.482","235722482829.044","246894708777.71","259830838298.284","276813238827.961","295281955098.724","316124725281.398","335135801636.774","352043821059.316","371659006686.465","395684471605.039","421488777535.966","446835470350.699","473918433445.899","504972662927.365","540893840151.903","580293543210.592","625926138171.084","",
"Bulgaria","BGR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81053427223.1454","74208177361.5113","68811470845.4243","67792913249.9233","69025396033.2156","70999653122.5031","71499973959.3774","70721467766.0181","75211558923.5617","68887669973.4665","72170698615.6754","74891691136.1543","79338397579.6214","83429258667.9103","88798230409.5686","95123782188.4263","101662931880.142","109129486522.587","115701136958.297","111551925697.069","113028971136.935","115193369520.725","115229044755.994","115798185691.527","117926001842.542","122019432757.1","126823042719.503","131656583599.632","135713129948.912","",
